<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.04.02	09:00:00	91081	91225	90942	90995	5494	20340	1
2018.04.02	09:05:00	90995	91017	90937	90979	4640	15613	1
2018.04.02	09:10:00	90979	91097	90969	91070	4679	13901	1
2018.04.02	09:15:00	91065	91102	91038	91043	3605	11205	1
2018.04.02	09:20:00	91043	91065	91001	91043	3565	10508	1
2018.04.02	09:25:00	91043	91059	91001	91022	2386	7436	1
2018.04.02	09:30:00	91022	91054	91011	91027	1718	4958	1
2018.04.02	09:35:00	91027	91070	90985	91054	3816	11074	1
2018.04.02	09:40:00	91043	91054	90974	91001	2804	8756	1
2018.04.02	09:45:00	91001	91139	90995	91086	5378	16046	1
2018.04.02	09:50:00	91081	91118	91049	91081	3533	11507	1
2018.04.02	09:55:00	91081	91161	91065	91150	3465	11143	1
2018.04.02	10:00:00	91150	91177	90963	91017	10253	32424	1
2018.04.02	10:05:00	91017	91033	90867	90883	9485	32882	1
2018.04.02	10:10:00	90883	90899	90814	90889	7365	26241	1
2018.04.02	10:15:00	90889	90979	90857	90942	7754	25033	1
2018.04.02	10:20:00	90942	91145	90931	91118	9140	30558	1
2018.04.02	10:25:00	91123	91273	91118	91198	11428	40618	1
2018.04.02	10:30:00	91198	91390	91086	91353	20778	77400	1
2018.04.02	10:35:00	91347	91513	91326	91443	11787	43413	1
2018.04.02	10:40:00	91449	91561	91438	91475	9005	33700	1
2018.04.02	10:45:00	91475	91481	91342	91374	10367	41863	1
2018.04.02	10:50:00	91374	91454	91326	91390	9964	37544	1
2018.04.02	10:55:00	91385	91449	91347	91433	4887	19333	1
2018.04.02	11:00:00	91427	91438	91091	91145	15717	56958	1
2018.04.02	11:05:00	91150	91315	91139	91294	10274	37450	1
2018.04.02	11:10:00	91289	91406	91203	91225	10707	38766	1
2018.04.02	11:15:00	91225	91390	91198	91369	8418	30589	1
2018.04.02	11:20:00	91369	91619	91299	91614	13624	50823	1
2018.04.02	11:25:00	91609	91667	91550	91571	10955	40933	1
2018.04.02	11:30:00	91577	91603	91502	91523	7062	26720	1
2018.04.02	11:35:00	91523	91539	91321	91438	10670	39183	1
